id,realm,material_type,author_inified,title_en,edition,language,translator,paratext_en,editor,illustrator,cover_desing_en,city_en,publisher_en,year
96,RU,Book,Aleksandr Solzhenitsyn,V pervom krugu In the First Circle,,Russian,,,,,,London,Flegon,1968
97,RU,Book,Andrei Voznesensky,Menia pugaiut formalizmom,,Russian,,,,,,London,Flegon,1963
98,RU,Book,Andrei Amalrik,Prosushchestvuet li Sovetskii Soiuz do 1984 goda?,,Russian,,,,,,Amsterdam,Alexander Herzen Foundation,1969
99,RU,Book,Andrei Amalrik,"Stati i pisma, 1967-1970",,Russian,,,,,,Amsterdam,Alexander Herzen Foundation,1971
100,RU,Book,Aleksandr Solzhenitsyn,V kruge pervom (In the First Circle). Novel,,Russian,,,,,,New York,Harper & Row,1968
101,RU,Book,Anatoly Marchenko,Ot Tarusy do Chuny. With documents on Marchenkos trial,,Russian,,,,,,New York,Khronika,1976
102,RU,Book,Alexander Zinoviev,Ziiaiushchie vysoty Yawning Heights,,Russian,,,,,,Lausanne,L'Age d'Homme,1976
103,RU,Book,Vladimir Vysotsky,"Pesni i stikhi, Vol.1",,Russian,,,Arkady Lvov,,Mikhail Turovsky,New York,Literaturnoe zarubezh'e,1981
104,RU,Book,Vladimir Vysotsky,"Pesni i stikhi, Vol.2",,Russian,,,Arkady Lvov,,Mikhail Turovsky,New York,Literaturnoe zarubezh'e,1981
105,RU,Book,Aleksandr Solzhenitsyn,Rakovyi korpus (Cancer Ward),,Russian,,,,,,Milan,Mondadori,1968
107,RU,Book,,Pis'ma iz ssylki (1948-1957). Ariadna Efron Borisu Pasternaku. Includes 12 letters from Boris Pasternak,,Russian,,,,,Elena Fisher,Paris,YMCA-Press,1982
108,RU,Book,Aleksandr Gladkov,Vstrechi s Pasternakom,,Russian,,,,,,Paris,YMCA-Press,1973
109,RU,Book,,"Songs of the Russian Bards, Vol II",,Russian,,,,,Lev Nusberg,Paris,YMCA-Press,1977
110,RU,Book,,"Songs of the Russian Bards, Vol III",,Russian,,,,,Lev Nusberg,Paris,YMCA-Press,1977
111,RU,Book,Aleksandr Solzhenitsyn,"Odin den Ivana Denisovicha, Matrenin dvor",,Russian,,,,,,Paris,YMCA-Press,1973
112,RU,Book,,"Songs of the Russian Bards, Vol. IV",,Russian,,,,,Lev Nusberg,Paris,YMCA-Press,1978
113,RU,Book,Inna Lisnyanskaya,Dozhdi i zerkala. Stikhi,,Russian,,,,,D. Nekrasov-Geller,Paris,YMCA-Press,1983
114,RU,Book,,"Songs of the Russian Bards, Vol. I",,Russian,,,,,Lev Nusberg,Paris,YMCA-Press,1977
115,RU,Book,Olga Sedakova,"Vrata, Okna, Arki, Izbrannye stikhotvoreniia",,Russian,,,,,D. Nekrasov-Geller,Paris,YMCA-Press,1986
116,RU,Book,Aleksandr Solzhenitsyn,Nobel Lecture in Literature for 1970,,Russian,,,,,,Paris,YMCA-Press,1972
117,RU,Book,Andrei Platonov,Potaennyi Platonov. Povest i rasskazy,,Russian,,,Michel Heller,,,Paris – New York,The Third Wave,1983
118,RU,Book,Mikhail Naritsa,Nespetaia pesnia,,Russian,,,,,,Frankfurt am Main,Posev,1964
119,RU,Book,Grigory Pomerants,Neopublikovannoe. Bol’shie i malen’kie esse. Publitsistika,,Russian,,,,,A.V. Rusak,Frankfurt am Main,Posev,1972
120,RU,Book,Georgi Vladimov,Vernyi Ruslan,,Russian,,,,,Adam Rusak,Frankfurt am Main,Posev,1975
121,RU,Book,Arkady Strugatsky; Boris Strugatsky,Ulitka na sklone,,Russian,,,,,N.I. Nikolenko,Frankfurt am Main,Posev,1972
123,RU,Book,Valery Tarsis,Skazanie o sinei mukhe. Krasnoe i chernoe,,Russian,,,,,,Frankfurt am Main,Posev,1963
124,RU,Book,Fyodor Abramov,Vokrug da okolo,,Russian,,,,,,Frankfurt am Main,Posev,1963
125,RU,Book,Leonid Borodin,God chuda i pechali,,Russian,,,,Illustrations by: S.A. Zezin,S.A. Zezin,Frankfurt am Main,Posev,1981
126,RU,Book,Leonid Borodin,Povest’ strannogo vremeni. Rasskazy,,Russian,,,,,,Frankfurt am Main,Posev,1978
127,RU,Book,Leonid Borodin,Tret’ia pravda,,Russian,,,,,,Frankfurt am Main,Posev,1981
128,RU,Book,Yuri Galanskov,Stikhi i proza. Esse i zaiavleniia. Pisma iz lageria,,Russian,,,,,,Frankfurt am Main,Posev,1980
129,RU,Book,Anatoly Krasnov-Levitin,Stromaty,,Russian,,,,,,Frankfurt am Main,Posev,1972
130,RU,Book,Irina Ratushinskaya,Vne limita. Izbrannoe,,Russian,,"Foreword by: I. Gerashchenko
Afterword by: Yuri Kublanovsky",Yuri Kublanovsky,,Vadim Filimonov,Frankfurt am Main,Posev,1986
131,RU,Book,Aleksandr Solzhenitsyn,Sobranie sochinenii v 6 tt (Collected Works in 6 vols.),,Russian,,,A.N. Artemova,,Adam Rusak,Frankfurt am Main,Posev,1969-1970
132,RU,Book,Semyon Lipkin,Kartiny i golosa,,Russian,,Foreword by: Vladimir Maksimov,,,Andrzej Krauze,London,Overseas Publications Interchange,1986
133,RU,Book,Ariadna Efron,Stranitsy vospominanii,,Russian,,,,,,Paris,LEV,1979
134,RU,Book,Lydia Chukovskaya,Pamiati detstva,,Russian,,Afterword by: Efim Etkind,,,,New York,Chalidze Publications,1983
135,RU,Book,Arkady Strugatsky; Boris Strugatsky,Gadkie lebedi,,Russian,,,,,N.I. Nikolenko,Frankfurt am Main,Posev,1972
136,RU,Book,Pyotr Yakir,Detstvo v tiurme,,Russian,,,,,,London,Macmillan,1972
137,RU,Book,Bulat Okudzhava,Dva romana,,Russian,,,,,Ya. Trushnovich,Frankfurt am Main,Posev,1970
138,RU,Book,Anatoly Gladilin,Prognoz na zavtra,,Russian,,,,,,Frankfurt am Main,Posev,1972
139,RU,Book,Elena Shvarts,Tantsuiushchii David. Stikhi raznykh let,,Russian,,,,,,New York,Russica,1985
141,RU,Book,Andrei Amalrik,Nezhelannoe puteshestvie v Sibir,,Russian,,,,,,New York,Harcourt Brace Jovanovich,1970
142,RU,Book,Natalya Gorbanevskaya,Tri tetradi stikhotvorenii,,Russian,,,,Drawing by: Boris Birger,,Bremen,K-Presse,1975
143,RU,Book,Fazil Iskander,Kroliki i udavy,,Russian,,,,,,Ann Arbor,Ardis,1982
144,RU,Book,Aleksandr Solzhenitsyn,Odin Den Ivana Denisovicha,,Russian,,,,,,London,Flegon,1962
145,RU,Book,Aleksandr Solzhenitsyn,Odin Den Ivana Denisovicha,,Russian,,,,,,London,Flegon,1963
146,RU,Book,Aleksandr Solzhenitsyn,Matrenas Place Matrenin Dvor,,Russian,,,,,,London,Flegon,1965
150,RU,Book,Gennadiy Aygi,Otmechennaia zima. Sobranie stikhotvorenii v dvukh chastiakh,,Russian,,Foreword by: Pierre Emmanuel,Veronika Losskaia,,,Paris,Sintaksis,1982
151,RU,Book,Gennadiy Aygi,"Stikhi, 1954-1971",,Russian,,Introduction by: Wolfgang Kazak,Wolfgang Kazak,,,Munich,Sagner,1975
152,RU,Book,Yury Aikhenvald,Po grani ostroi. Proza i stikhi,,Russian,,,,,,Munich,Ekho,1972
153,RU,Book,Yury Aikhenvald,Visokosnyi god. Kniga stikhov i prozy,,Russian,,,,,,Munich,Ekho,1980
154,RU,Book,Yury Aikhenvald,Don Kikhot na russkoi pochve,,Russian,,,,,Boris Rabinovich,New York,Chalidze Publications,1982
