id,realm,material_type,author_inified,country_of_birth_original,country_of_birth_modern,sex or gender,title_en,edition,language,translator,paratext_en,editor,illustrator,cover_desing_en,city_en,publisher_en,year
110,RU,Book,,,,,"Songs of the Russian Bards, Vol III",,Russian,,,,,Lev Nusberg,Paris,YMCA-Press,1977
111,RU,Book,Aleksandr Solzhenitsyn,Russian Socialist Federative Soviet Republic,Russia,male,"Odin den Ivana Denisovicha, Matrenin dvor",,Russian,,,,,,Paris,YMCA-Press,1973
112,RU,Book,,,,,"Songs of the Russian Bards, Vol. IV",,Russian,,,,,Lev Nusberg,Paris,YMCA-Press,1978
113,RU,Book,Inna Lisnyanskaya,Soviet Union,Azerbaijan,female,Dozhdi i zerkala. Stikhi,,Russian,,,,,D. Nekrasov-Geller,Paris,YMCA-Press,1983
114,RU,Book,,,,,"Songs of the Russian Bards, Vol. I",,Russian,,,,,Lev Nusberg,Paris,YMCA-Press,1977
115,RU,Book,Olga Sedakova,Soviet Union,Russia,female,"Vrata, Okna, Arki, Izbrannye stikhotvoreniia",,Russian,,,,,D. Nekrasov-Geller,Paris,YMCA-Press,1986
116,RU,Book,Aleksandr Solzhenitsyn,Russian Socialist Federative Soviet Republic,Russia,male,Nobel Lecture in Literature for 1970,,Russian,,,,,,Paris,YMCA-Press,1972
117,RU,Book,Andrei Platonov,Russian Empire,Russia,male,Potaennyi Platonov. Povest i rasskazy,,Russian,,,Michel Heller,,,Paris – New York,The Third Wave,1983
118,RU,Book,Mikhail Naritsa,Soviet Union,Russian Empire,male,Nespetaia pesnia,,Russian,,,,,,Frankfurt am Main,Posev,1964
119,RU,Book,Grigory Pomerants,Soviet Union,Lithuania,male,Neopublikovannoe. Bol’shie i malen’kie esse. Publitsistika,,Russian,,,,,A.V. Rusak,Frankfurt am Main,Posev,1972
120,RU,Book,Georgi Vladimov,Soviet Union,Ukraine,male,Vernyi Ruslan,,Russian,,,,,Adam Rusak,Frankfurt am Main,Posev,1975
121,RU,Book,Arkady Strugatsky; Boris Strugatsky,Soviet Union,Georgia; Russia,male,Ulitka na sklone,,Russian,,,,,N.I. Nikolenko,Frankfurt am Main,Posev,1972
123,RU,Book,Valery Tarsis,,Ukraine,male,Skazanie o sinei mukhe. Krasnoe i chernoe,,Russian,,,,,,Frankfurt am Main,Posev,1963
124,RU,Book,Fyodor Abramov,Soviet Union,Russia,male,Vokrug da okolo,,Russian,,,,,,Frankfurt am Main,Posev,1963
125,RU,Book,Leonid Borodin,Soviet Union,Russia,male,God chuda i pechali,,Russian,,,,Illustrations by: S.A. Zezin,S.A. Zezin,Frankfurt am Main,Posev,1981
126,RU,Book,Leonid Borodin,Soviet Union,Russia,male,Povest’ strannogo vremeni. Rasskazy,,Russian,,,,,,Frankfurt am Main,Posev,1978
127,RU,Book,Leonid Borodin,Soviet Union,Russia,male,Tret’ia pravda,,Russian,,,,,,Frankfurt am Main,Posev,1981
128,RU,Book,Yuri Galanskov,Soviet Union,Russia,male,Stikhi i proza. Esse i zaiavleniia. Pisma iz lageria,,Russian,,,,,,Frankfurt am Main,Posev,1980
129,RU,Book,Anatoly Krasnov-Levitin,Russian Empire,Azerbaijan,male,Stromaty,,Russian,,,,,,Frankfurt am Main,Posev,1972
130,RU,Book,Irina Ratushinskaya,Soviet Union,Ukraine,female,Vne limita. Izbrannoe,,Russian,,"Foreword by: I. Gerashchenko
Afterword by: Yuri Kublanovsky",Yuri Kublanovsky,,Vadim Filimonov,Frankfurt am Main,Posev,1986
131,RU,Book,Aleksandr Solzhenitsyn,Russian Socialist Federative Soviet Republic,Russia,male,Sobranie sochinenii v 6 tt (Collected Works in 6 vols.),,Russian,,,A.N. Artemova,,Adam Rusak,Frankfurt am Main,Posev,1969-1970
132,RU,Book,Semyon Lipkin,Soviet Union,Ukraine,male,Kartiny i golosa,,Russian,,Foreword by: Vladimir Maksimov,,,Andrzej Krauze,London,Overseas Publications Interchange,1986
133,RU,Book,Ariadna Efron,Soviet Union,Russia,female,Stranitsy vospominanii,,Russian,,,,,,Paris,LEV,1979
134,RU,Book,Lydia Chukovskaya,Russian Empire,Russia,female,Pamiati detstva,,Russian,,Afterword by: Efim Etkind,,,,New York,Chalidze Publications,1983
135,RU,Book,Arkady Strugatsky; Boris Strugatsky,Soviet Union,Georgia; Russia,male,Gadkie lebedi,,Russian,,,,,N.I. Nikolenko,Frankfurt am Main,Posev,1972
136,RU,Book,Pyotr Yakir,Soviet Union,Ukraine,male,Detstvo v tiurme,,Russian,,,,,,London,Macmillan,1972
137,RU,Book,Bulat Okudzhava,Soviet Union,Russia,male,Dva romana,,Russian,,,,,Ya. Trushnovich,Frankfurt am Main,Posev,1970
138,RU,Book,Anatoly Gladilin,Soviet Union,Russia,male,Prognoz na zavtra,,Russian,,,,,,Frankfurt am Main,Posev,1972
139,RU,Book,Elena Shvarts,Soviet Union,Russia,female,Tantsuiushchii David. Stikhi raznykh let,,Russian,,,,,,New York,Russica,1985
141,RU,Book,Andrei Amalrik,Soviet Union,Russia,male,Nezhelannoe puteshestvie v Sibir,,Russian,,,,,,New York,Harcourt Brace Jovanovich,1970
142,RU,Book,Natalya Gorbanevskaya,Soviet Union,Russia,female,Tri tetradi stikhotvorenii,,Russian,,,,Drawing by: Boris Birger,,Bremen,K-Presse,1975
143,RU,Book,Fazil Iskander,Soviet Union,Georgia,male,Kroliki i udavy,,Russian,,,,,,Ann Arbor,Ardis,1982
144,RU,Book,Aleksandr Solzhenitsyn,Russian Socialist Federative Soviet Republic,Russia,male,Odin Den Ivana Denisovicha,,Russian,,,,,,London,Flegon,1962
145,RU,Book,Aleksandr Solzhenitsyn,Russian Socialist Federative Soviet Republic,Russia,male,Odin Den Ivana Denisovicha,,Russian,,,,,,London,Flegon,1963
146,RU,Book,Aleksandr Solzhenitsyn,Russian Socialist Federative Soviet Republic,Russia,male,Matrenas Place Matrenin Dvor,,Russian,,,,,,London,Flegon,1965
150,RU,Book,Gennadiy Aygi,Soviet Union,Russia,male,Otmechennaia zima. Sobranie stikhotvorenii v dvukh chastiakh,,Russian,,Foreword by: Pierre Emmanuel,Veronika Losskaia,,,Paris,Sintaksis,1982
151,RU,Book,Gennadiy Aygi,Soviet Union,Russia,male,"Stikhi, 1954-1971",,Russian,,Introduction by: Wolfgang Kazak,Wolfgang Kazak,,,Munich,Sagner,1975
152,RU,Book,Yury Aikhenvald,Soviet Union,Russia,male,Po grani ostroi. Proza i stikhi,,Russian,,,,,,Munich,Ekho,1972
153,RU,Book,Yury Aikhenvald,Soviet Union,Russia,male,Visokosnyi god. Kniga stikhov i prozy,,Russian,,,,,,Munich,Ekho,1980
154,RU,Book,Yury Aikhenvald,Soviet Union,Russia,male,Don Kikhot na russkoi pochve,,Russian,,,,,Boris Rabinovich,New York,Chalidze Publications,1982
155,RU,Book,Anna Akhmatova,Russian Empire,Ukraine,female,50 stikhotvorenii,,Russian,,,,,,Paris,YMCA-Press,1963
156,RU,Book,Alexander Bek,Russian Empire,Russia,male,Novoe naznachenie,,Russian,,,,,,Frankfurt am Main,Posev,1971
157,RU,Book,,,,,"Smuta noveishego vremeni, ili Udivitel'nye pokhozhdeniia Vani Chmotanova",,Russian,,,,Drawings by: DIM,,Paris,La Presse Libre,1970
158,RU,Book,Aleksandr Solzhenitsyn,Russian Socialist Federative Soviet Republic,Russia,male,V kruge pervom (The First Circle),,Russian,,,,,,Milan,Arnoldo Mondadori Editore,1968
160,RU,Book,Anna Akhmatova,Russian Empire,Ukraine,female,Requiem (Reekviem),,Estonian,Marie Under,"Introduction by: Alexis Rannitt
Epilogue by: François Mauriac",,,,Washington D.C.,Inter-Language Literary Associates,1967
161,RU,Book,Anna Akhmatova,Russian Empire,Ukraine,female,Requiem (Requiems),,Latvian,Pēteris Aigars,"Introduction by: Pēteris Aigars
Epilogue by: François Mauriac",,,,Washington D.C.,Inter-Language Literary Associates,1968
163,RU,Book,Anna Akhmatova,Russian Empire,Ukraine,female,Rekviem. 1935-1940,"2nd ed., corrected by the author",Russian,,Afterword by: Gleb Struve,,,,Munich,Tovarishchestvo zarubezhnykh pisatelei,1969
167,RU,Book,Anna Akhmatova,Russian Empire,Ukraine,female,"Sochineniia Works, In 2 vols",,Russian,,,Gleb Struve; Boris Filippov,,,Washington D.C.,Inter-Language Literary Associates,1965
168,RU,Book,Yevgeny Zamyatin,Russian Empire,Russia,male,My,,Russian,,,,,,New York,Izdatel'stvo imeni Chekhova,1952
169,RU,Book,Yevgeny Zamyatin,Russian Empire,Russia,male,Povesti i rasskazy (Novellas and Short Stories),,Russian,,,,,,Munich,TSOPE,1963
170,RU,Book,Yevgeny Zamyatin,Russian Empire,Russia,male,"Litsa Faces,",,Russian,,"Introduction by: Mikhail Koriakov
Afterword by: Vladimir Bondarenko",,,Nikolai Safonov,New York,Inter-Language Literary Associates,1967
171,RU,Book,Yevgeny Zamyatin,Russian Empire,Russia,male,My,,Russian,,"Introduction by: Evgenia Zhiglevich
Afterword by: Vladimir Bondarenko",,,Evgenia Zhiglevich,New York,Inter-Language Literary Associates,1967
172,RU,Book,Yevgeny Zamyatin,Russian Empire,Russia,male,"Sochineniia Works, 4 vols",,Russian,,,,Drawing by: Yuri Annenkov,Nikolai Safonov,Munich,Neimanis,1970-1988
173,RU,Book,Yevgeny Zamyatin,Russian Empire,Russia,male,Litsa (Faces),,Russian,,,,,,New York,Izdatel'stvo imeni Chekhova,1955
174,RU,Book,Yevgeny Yevtushenko,Russia,Russia,male,Avtobiografiia,,Russian,,,,,,London,Flegon,1964
175,RU,Book,Andrei Sinyavsky,Russia,Russia,male,Fantasticheskie povesti,,Russian,,,,,,Paris,Instytut Literacki,1961
177,RU,Book,Varlam Shalamov,Russian Empire,Russia,male,Kolyma Tales,,English,John Glad,,,,,New York,Norton,1980
178,RU,Book,Varlam Shalamov,Russian Empire,Russia,male,Graphite,,English,John Glad,,,,,New York,Norton,1981
179,RU,Book,Anna Akhmatova,Russian Empire,Ukraine,female,Requiem,,German,Mary von Holbeck,,,,,Munich,Possev,1964
180,RU,Book,Yevgenia Ginzburg,Russian Empire,Russia,female,Journey into the Whirlwind,,English,Paul Stevenson; Max Hayward,,,,,New York,Harcourt Brace & World,1967
181,RU,Book,Lydia Chukovskaya,Russian Empire,Russia,female,The Deserted House,,English,Aline B. Werth,,,,,New York,Dutton,1967
182,RU,Book,Valery Tarsis,Russian Empire,Ukraine,male,Palana No. 7,,Russian,,,,,,Frankfurt am Main,Possev,1966
183,RU,Book,Valery Tarsis,Russian Empire,Ukraine,male,Ward 7. An Autobiographical Novel,,English,Katya Brown,,,,,London,Collins & Harvill,1965
186,RU,Book,Valery Tarsis,Russian Empire,Ukraine,male,"The Bluebottle, Red and Black",,English,Thomas Jones; David Alger,,,,,London,Collins & Harvill,1962
187,RU,Book,Pyotr Savitsky,Soviet Union,Ukraine,male,Stikhi,,Russian,,Foreword by: Nikolai Otsup,,,,Munich,Baschkirzew,1960
189,RU,Book,Irina Ratushinskaya,Soviet Union,Ukraine,female,Poems,,Russian,,Introduction by: Joseph Brodsky,,,,Ann Arbor,Hermitage,1984
190,RU,Book,Nikolay Gumilev,Russian Empire,Russia,male,Neizdannyi Gumilev,,Russian,,"Introduction by: Gleb Struve
Commentary by: Gleb Struve",Gleb Struve,,,New York,Chekhov Publishing House,1952
193,RU,Book,Andrei Sakharov,Soviet Union,Russia,male,"Razmyshleniia o progresse, mirnom sosushchestvovanii i intellektualnoi svobode",,Russian,,,,,,Frankfurt am Main,Posev,1968
194,RU,Book,Viktor Krivulin,Soviet Union,Ukraine,male,Stikhi,,Russian,,Foreword by: Vasily Betaki,,,,Paris,Ritm,1981
195,RU,Book,Venedikt Yerofeyev,Soviet Union,Russia,male,Glazami ekstsentika,,Russian,,Foreword by: Petr Vail; Alexander Genis,,Illustrations by: Vagrich Bakhchanian,,New York,Serebrianyi vek,1982
196,RU,Book,Osip Mandelstam,Russian Empire,Poland,male,Sobranie sochinenii (Collected Works),,Russian,,Introduction by: Gleb Struve; Boris Filippov,Gleb Struve; Boris Filippov,,,New York,Chekhov Publishing House,1955
201,RU,Book,Lydia Chukovskaya,Russian Empire,Russia,female,The Deserted House,,English,Aline B. Werth,Introduction by: Alexis Klimoff,,,,"Belmont, MA",Nordland,1978
203,RU,Book,Andrei Sinyavsky,Russia,Russia,male,Fantastic Stories,,English,Max Hayward; Manya Harari; Ronald Hingley,,,,,New York,Pantheon Books,1963
206,RU,Book,Yuli Daniel,Soviet Union,Russia,male,This Is Moscow Speaking & Other Stories,,English,Stuart Hood; Harold Shukman; John Richardson,Foreword by: Max Hayward,,,,New York,Dutton,1969
207,RU,Book,Andrei Platonov,Russian Empire,Russia,male,Chevengur,,English,Anthony Olcott,,,,,Ann Arbor,Ardis,1978
209,RU,Book,Andrei Platonov,Russian Empire,Russia,male,Collected Works,,English,Thomas Whitney; Carl Proffer; et al.,Introduction: by Joseph Brodsky,,,,Ann Arbor,Ardis,1978
210,RU,Book,Mikhail Bulgakov,Russian Empire,Ukraine,male,The Master and Margarita,,English,Mirra Ginsburg,,,,,New York,Grove,1967
211,RU,Book,Mikhail Bulgakov,Russian Empire,Ukraine,male,The Master and Margarita,,English,Michael Glenny,,,,,New York,Harper & Row,1967
212,RU,Book,Mikhail Bulgakov,Russian Empire,Ukraine,male,Black Snow: A Theatrical Novel,,English,Michael Glenny,,,,,New York,Simon and Schuster,1967
216,RU,Book,Mikhail Bulgakov,Russian Empire,Ukraine,male,Heart of a Dog,,English,Mirra Ginsburg,,,,,New York,Grove,1968
217,RU,Book,Mikhail Bulgakov,Russian Empire,Ukraine,male,The Heart of a Dog,,English,Michael Glenny,,,,,New York,Harcourt,1968
218,RU,Book,Venedikt Yerofeyev,Soviet Union,Russia,male,Moscow to the End of the Line,,English,H.W. Tjalsma,Introduction by: Vera S. Dunham,,,,New York,Taplinger,1980
219,RU,Book,,,,,On Trial: The Soviet State Versus Abram Tertz and Nikolai Arzhak.,,English,Max Hayward,Introduction by: Max Hayward,Max Hayward,,,New York,Harper & Row,1966
220,RU,Book,Bella Akhmadulina,Soviet Union,Russia,female,Fever and Other New Poems,,English,Geoffrey Dutton; Igor Mezhakoff-Koriakin,Introduction by: Yevgeny Yevtushenko,,,,London,Peter Owen,1969
221,RU,Book,Andrei Platonov,Russian Empire,Russia,male,The Foundation Pit,,English,Mirra Ginsburg,,,,,New York,Dutton,1975
222,RU,Book,Andrei Platonov,Russian Empire,Russia,male,The Foundation Pit. A Bilingual Edition.,,Russian; English,Thomas Whitney,Introduction by: Joseph Brodsky,,,,Ann Arbor,Ardis,1973
223,RU,Book,Andrei Platonov,Russian Empire,Russia,male,Die Baugrube,,German,Aggy Jais,,,,,Frankfurt am Main,Suhrkamp,1971
224,RU,Book,Nikolay Zabolotsky,Russian Empire,Russia,male,Stikhotvoreniia,,Russian,,Introduction by: Alexis Rannit; Boris Filippov; Emmanuil Rais,Gleb Struve; Boris Filippov,,,Washington D.C.,Inter-Language Literary Associates,1965
225,RU,Book,Igorʹ Burihin,Soviet Union,Russia,male,Moi dom slovo,,Russian,,,M. Muravnik,,,Paris,Tret'ia volna,1978
232,RU,Book,Sergei Dovlatov,Soviet Union,Russia,male,The Invisible Book,,English,Katherine O'Connor; Diana L. Burgin,,,,,Ann Arbor,Ardis,1979
236,RU,Book,Andrei Sinyavsky,Russia,Russia,male,On Socialist Realism,,English,George Dennis,Introduction by: Czeslaw Milosz,,,,New York,Pantheon Books,1961
239,RU,Book,Mikhail Bulgakov,Russian Empire,Ukraine,male,Master i Margarita. Neizdannye otryvki,,Russian,,,,,,Bern - Turin,Scherz Verlag - Giulio Eidaudi,1967
240,RU,Book,Andrei Sinyavsky,Russia,Russia,male,"Fantasticheskie povesti,",,Russian,,Introduction by: Boris Filippov,,,,Washington D.C.,Inter-Language Literary Associates,1967
241,RU,Book,Joseph Brodsky,Soviet Union,Russia,male,Selected Poems,,English,George Kline,Foreword by: W.H. Auden,,,,New York,Harper & Row,1973
242,RU,Book,Andrei Sinyavsky,Russia,Russia,male,The Trial Begins,,English,Max Hayward,,,,,New York,Pantheon Books,1960
243,RU,Book,Andrei Platonov,Russian Empire,Russia,male,The Fierce and Beautiful World. Stories by Andrei Platonov,,English,Joseph Barnes,Introduction by: Yevgeny Yevtushenko,,,,New York,Dutton,1970
244,RU,Book,Marina Tsvetaeva,Russian Empire,Russia,female,Lebedinyi Stan. Stikhi 1917-1921 godov,,Russian,,Introduction by: Yuri Ivask,Gleb Struve,,,Munich,G.P. Struve,1957
246,RU,Book,Marina Tsvetaeva,Russian Empire,Russia,female,"Proza,",,Russian,,Introduction by: Fedor Stepun,,,,New York,Izdatel'stvo imeni Chekhova,1953
247,RU,Book,Alexander Galich,Soviet Union,Ukraine,male,Songs and Poems,,English,G.S. Smith,Introduction by: G.S. Smith,G.S. Smith,,,Ann Arbor,Ardis,1983
248,RU,Book,Yevgeny Yevtushenko,Russia,Russia,male,Selected Poems,,English,Robin Milner-Gulland; Peter Levi; S.J.,Introduction by: Robin Milner-Gulland; Peter Levi; S.J.,,,,New York,Dutton,1962
249,RU,Book,Yevgeny Yevtushenko,Russia,Russia,male,"Posle Stalina, Nasledniki Stalina, Babii Iar i drugie",,Russian,,,,,,Chicago,Russian Language Specialties,1962
250,RU,Book,Aleksandr Solzhenitsyn,Russian Socialist Federative Soviet Republic,Russia,male,One Day in the Life of Ivan Denisovich,,English,Max Hayward; Ronald Hingley,Introduction by: Max Hayward; Leopold Labedz,,,,New York,Praeger,1963
251,RU,Book,Aleksandr Solzhenitsyn,Russian Socialist Federative Soviet Republic,Russia,male,One Day in the Life of Ivan Denisovich,,English,Ralph Parker,Introduction by: Marvin L. Kalb,,,,New York,Dutton,1963
252,RU,Book,Joseph Brodsky,Soviet Union,Russia,male,Collines et autres poèmes,,French,Jean-Jacques Marie,Foreword by: Pierre Emmanuel,,,,Paris,Éditions du Seuil,1966
255,RU,Book,Alexander Galich,Soviet Union,Ukraine,male,Kogda ia vernus: stikhi i pesni 1972-1977,,Russian,,,,,Eduard Zelenin,Frankfurt am Main,Posev,1977
256,RU,Book,Alexander Galich,Soviet Union,Ukraine,male,Kogda ia vernus: polnoe sobranie stikhov i pesen,,Russian,,,,,I. Zakharov-Ross,Frankfurt am Main,Posev,1981
257,RU,Book,Georgi Vladimov,Soviet Union,Ukraine,male,"Faithful Ruslan, The Story of a Guard Dog",,English,Michael Glenny,Introduction by: Richard Adams,,,Dianne Pinkowitz,New York,Simon and Schuster,1979
258,RU,Book,Bulat Okudzhava,Soviet Union,Russia,male,65 Songs. Musical arrangements,,Russian; English,Eve Shapiro,,Vladimir Frumkin,,,Ann Arbor,Ardis,1980
259,RU,Book,Fyodor Abramov,Soviet Union,Russia,male,The Dodgers,,English,,,,,,London,Flegon,1963
260,RU,Book,Sofia Polyakova,Russia,Russia,female,Zakatnye ony dni: Tsvetaeva i Parnak,,Russian,,,,,,Ann Arbor,Ardis,1983
263,RU,Book,Fyodor Abramov,Soviet Union,Russia,male,"The New Life, A Day on a Collective Farm",,English,George Reavey,Introduction by: George Reavey,,,,New York,Grove,1963
264,RU,Book,Fyodor Abramov,Soviet Union,Russia,male,One Day in the New Life.,,English,David Floyd,,,,,New York,Praeger,1963
265,RU,Book,Anna Akhmatova,Russian Empire,Ukraine,female,"Stikhi, Perepiska, Vospominaniia, Ikonografiia",,Russian,,,Ellendea Proffer,,,Ann Arbor,Ardis,1977
266,RU,Book,Nikolay Gumilev,Russian Empire,Russia,male,"Sobranie sochinenii, In 4 Vols",,Russian,,,Gleb Struve; Boris Filippov,,,Washington D.C.,Victor Kamkin,1962-1968
267,RU,Book,Lydia Chukovskaya,Russian Empire,Russia,female,Going Under. Novel,,English,Peter M. Weston,,,,,New York,Quadrangle: New York Times Book,1972.
268,RU,Book,Nadezhda Mandelstam,Russian Empire,Russia,female,Hope Agains Hope,,English,Max Hayward,Introduction by: Clarence Brown,,,,New York,Atheneum,1970
269,RU,Book,,,,,"Pamiati A.A Akhmatovoi. Stikhi, pis'ma, vospominaniia",,Russian,,,,,,Paris,YMCA-Press,1974
270,RU,Book,Nadezhda Mandelstam,Russian Empire,Russia,female,Hope Abandoned,,English,Max Hayward,,,,,New York,Atheneum,1974
271,RU,Book,Lydia Chukovskaya,Russian Empire,Russia,female,Het verlaten huis,,Dutch,Wim Hartog,,,,,Amsterdam,Arbeiderspers,1968
272,RU,Book,Dmitri Prigov,Soviet Union,Russia,male,Poemogrammy,,Russian,,,,,S. Shabalin,Paris,Zhurnal A-Ya,1985
273,RU,Book,Vladimir Dudintsev,Soviet Union,Ukraine,male,Ne khlebom edinym,,Russian,,,,,,New York,Novoe russkoe slovo,1957
274,RU,Book,Evgeny Shvarts,Russian Empire,Russia,male,Memories,,Russian,,"Publication, introduction, commentary by: Lev Loseff",,,,Paris,La Presse Libre,1982
275,RU,Book,Alexander Vvedensky,Russian Empire,Russia,male,Polnoe sobranie sochinenii,,Russian,,"Publication, introduction, commentary by: Mikhail Meilakh",,,,Ann Arbor,Ardis,1980
276,RU,Book,Andrei Amalrik,Soviet Union,Russia,male,Involuntary Journey to Siberia,,English,Manya Harari; Max Hayward,Introduction by: Max Hayward,,,,New York,Harcourt Brace Jovanovich,1970
277,RU,Book,Andrei Amalrik,Soviet Union,Russia,male,Nose! Nose? No-se! and Other Plays,,English,Daniel Weissbort,Introduction by: Daniel Weissbort,,,,New York,Harcourt Brace Jovanovich,1973
