id,realm,material_type,author_inified,country_of_birth_original,country_of_birth_modern,sex or gender,title_en,edition,language,translator,paratext_en,editor,illustrator,cover_desing_en,city_en,publisher_en,year
319,RU,Book,Anatoly Marchenko,Soviet Union,Russia,male,From Tarusa to Siberia,,English,,Introduction by: Joshua Rubinstein,Joshua Rubinstein,,,"Royal Oak, MI",Strathcona,1980
320,RU,Book,Anatoly Marchenko,Soviet Union,Russia,male,My Testimony,,English,Michael Scammell,,,,,New York,Dutton,1969
321,RU,Book,Anatoly Marchenko,Soviet Union,Russia,male,To Live Like Everyone,,English,Paul Goldberg,,,,,New York,Holt,1989
322,RU,Book,Anatoly Marchenko,Soviet Union,Russia,male,Moi pokazaniia,,Russian,,,,,A. Rusak,Frankfurt am Main,Posev,1969
323,RU,Book,Varlam Shalamov,Russian Empire,Russia,male,Artikel 58: Die Aufzeichungen des Häftlings Schalanow,,German,Gizela Drohla,,,,,Cologne,Friedrich Middelhauve,1967
324,RU,Book,Varlam Shalamov,Russian Empire,Russia,male,Article 58: mémoires du prisonnier Chalamov,,French,,,,,,Paris,Gallimard,1969
325,RU,Book,Varlam Shalamov,Russian Empire,Russia,male,Artikel 58: ‘N Ooggetuie Verslag oor die Bannenlinge in ‘n Siberiese Strafkamp,,Afrikaans,Johannes van der Merwe,,,,,Kaapstad,Tafelberg-uit-gewers,1967
326,RU,Book,Varlam Shalamov,Russian Empire,Russia,male,Artikel 58: De aantekeningen van de gevangene Schalanow,,Dutch,,,,,,Brussels,D.A.P. Reinaert uitgaven,1973
327,RU,Book,Varlam Shalamov,Russian Empire,Russia,male,Récits de Kolyma,,French,Olivier Simon (Jean-Jacques Marie); Katia Kerel,,,,,Paris,Denoël,1969
328,RU,Book,Boris Pilnyak,Russian Empire,Russia,male,Krasnoe derevo,,Russian,,,,,,Berlin,Petropolis,1929
329,RU,Book,Boris Pilnyak,Russian Empire,Russia,male,Krasnoe derevo,,Russian,,,,,,Ann Arbor,Ardis,197?
332,RU,Book,Mikhail Bulgakov,Russian Empire,Ukraine,male,Il Maestro e Margherita,,Italian,Vera Dridso,,,,,Turino,Einaudi,1967
333,RU,Book,Zhores Medvedev; Roy Medvedev,Soviet Union,Georgia; Georgia,male,Kto sumasshedshii?,,Russian,,,,,,London,Macmillan,1971
334,RU,Book,Zhores Medvedev,Soviet Union,Georgia,male,"Mezhdunarodnoe sotrudnichestvo uchenykh i natsionalnye granitsy, Taina perepiski okhraniatsia zakonov",,Russian,,,,,,London,Macmillan,1972
335,RU,Book,Evgeny Kushev,Soviet Union,Russia,male,Ogryzkom karandasha. Stikhi i proza,,Russian,,,,,N. Nikolenko,Frankfurt am Main,Posev,1971
336,RU,Book,Ekaterina Olitskaia,,,female,"Moi vospominaniia, 2 vols",,Russian,,,,,,Frankfurt am Main,Posev,1971
337,RU,Book,Yevgenia Ginzburg,Russian Empire,Russia,female,"Krutoi marshrut, 2 vols",,Russian,,Foreword by: Vasily Aksenov,,,Vagrich Bakhchanian,New York,Possev-USA,1985
338,RU,Book,Yevgenia Ginzburg,Russian Empire,Russia,female,Viaggio Nella Vertigine,,Italian,,,,,,Milan,Mondadori,1967
339,RU,Book,Yevgenia Ginzburg,Russian Empire,Russia,female,Within the Whirlwind,,English,Ian Boland,Introduction by: Heinrich Böll,,,,New York,Harcourt Brace Jovanovich,1981
